date [yyyy-mm-dd HH:MM];J [mm/h];Q [mm/h];ET [mm/h];Cin [-];wi [-];measC_Q [-]
2015-05-01 00:00;0;0.011620271;0;-6.020106;0.531263625;-999
2015-05-01 01:00;0;0.011280263;0.00117853;-2.71;0.531203834;-999
2015-05-01 02:00;0;0.011165261;0.00402938;-2.71;0.531130914;-999
2015-05-01 03:00;0;0.011010257;0.00187801;-2.71;0.531069063;-999
2015-05-01 04:00;0;0.011040258;0.00449168;-2.71;0.530994524;-999
2015-05-01 05:00;0;0.011355265;0.00620152;-2.71;0.530910269;-999
2015-05-01 06:00;0;0.011220262;0.04543538;-2.71;0.530638375;-999
2015-05-01 07:00;0;0.011185261;0.11447486;-2.71;0.530035327;-999
2015-05-01 08:00;0;0.011320264;0.090651;-2.71;0.529545962;-999
2015-05-01 09:00;0;0.011445267;0.11390201;-2.71;0.528944414;-999
2015-05-01 10:00;0;0.011610271;0.27785905;-2.71;0.527555237;-999
2015-05-01 11:00;0;0.011860277;0.32805746;-2.71;0.525923955;-999
2015-05-01 12:00;0;0.01243029;0.40845545;-2.71;0.523904104;-999
2015-05-01 13:00;0;0.012800299;0.3505574;-2.71;0.522160333;-999
2015-05-01 14:00;0;0.013210308;0.29047046;-2.71;0.520702955;-999
2015-05-01 15:00;0;0.013535316;0.25522377;-2.71;0.519413167;-999
2015-05-01 16:00;0;0.013790322;0.15173021;-2.71;0.518618826;-999
2015-05-01 17:00;0;0.013920325;0.02192441;-2.71;0.518446805;-999
2015-05-01 18:00;0;0.013680319;0.00429403;-2.71;0.518360546;-999
2015-05-01 19:00;0;0.013395313;0;-2.71;0.518296261;-999
2015-05-01 20:00;0;0.013045304;0;-2.71;0.518233656;-999
2015-05-01 21:00;0;0.012810299;0;-2.71;0.518172179;-999
2015-05-01 22:00;0;0.012520292;0;-2.71;0.518112093;-999
2015-05-01 23:00;0;0.012240286;0;-2.71;0.518053351;-999
2015-05-02 00:00;0;0.01202028;0;-2.71;0.517995665;-999
2015-05-02 01:00;0;0.011765275;0;-2.71;0.517939203;-999
2015-05-02 02:00;0;0.011630271;0;-2.71;0.517883389;-999
2015-05-02 03:00;0;0.011450267;0;-2.71;0.517828439;-999
2015-05-02 04:00;0;0.011225262;0.00053935;-2.71;0.51777198;-999
2015-05-02 05:00;0;0.01115026;0.00783364;-2.71;0.517680875;-999
2015-05-02 06:00;0;0.010890254;0.02241217;-2.71;0.517521055;-999
2015-05-02 07:00;0;0.010745251;0.07684565;-2.71;0.517100702;-999
2015-05-02 08:00;0;0.010785252;0.15917257;-2.71;0.516285066;-999
2015-05-02 09:00;0;0.010970256;0.29531724;-2.71;0.514815178;-999
2015-05-02 10:00;0;0.011165261;0.27553549;-2.71;0.513439287;-999
2015-05-02 11:00;0;0.011470268;0.26603422;-2.71;0.51210753;-999
2015-05-02 12:00;0;0.011885277;0.35651973;-2.71;0.510339537;-999
2015-05-02 13:00;0;0.012205285;0.41188987;-2.71;0.508304284;-999
2015-05-02 14:00;0;0.012755298;0.27077045;-2.71;0.50694363;-999
2015-05-02 15:00;0;0.013255309;0.1697713;-2.71;0.506065277;-999
2015-05-02 16:00;0;0.013405313;0.09758416;-2.71;0.505532633;-999
2015-05-02 17:00;0;0.013355312;0.02217633;-2.71;0.505362115;-999
2015-05-02 18:00;0;0.013170307;0;-2.71;0.50529891;-999
2015-05-02 19:00;0;0.012910301;0;-2.71;0.505236953;-999
2015-05-02 20:00;0;0.012660295;0;-2.71;0.505176195;-999
2015-05-02 21:00;0;0.01244529;0;-2.71;0.50511647;-999
2015-05-02 22:00;0;0.012260286;0;-2.71;0.505057632;-999
2015-05-02 23:00;0;0.012065282;0;-2.71;0.50499973;-999
2015-05-03 00:00;0;0.011875277;0;-2.71;0.50494274;-999
2015-05-03 01:00;0;0.011680273;0;-2.71;0.504886686;-999
2015-05-03 02:00;0;0.011525269;0;-2.71;0.504831376;-999
2015-05-03 03:00;0;0.011405266;0;-2.71;0.504776641;-999
2015-05-03 04:00;0;0.011365265;0;-2.71;0.504722099;-999
2015-05-03 05:00;0;0.01115026;0;-2.71;0.504668588;-999
2015-05-03 06:00;0;0.010955256;0.04816027;-2.71;0.50438489;-999
2015-05-03 07:00;0;0.01070525;0.06744354;-2.71;0.50400985;-999
2015-05-03 08:00;0;0.010760251;0.2600002;-2.71;0.502710458;-999
2015-05-03 09:00;0;0.010945255;0.39488259;-2.71;0.50076287;-999
2015-05-03 10:00;0;0.011205261;0.42291405;-2.71;0.498679511;-999
2015-05-03 11:00;0;0.011475268;0.48070892;-2.71;0.496317495;-999
2015-05-03 12:00;0;0.012195285;0.48717978;-2.71;0.49392097;-999
2015-05-03 13:00;0;0.012705296;0.4729463;-2.71;0.491590305;-999
