Date;d2H_Xylem;d18O_Xylem;d2H_LMWL;d18O_LMWL;d18O_30days;d18O_ET
2015-05-28;-54.866667;-7.566667;-60.321471;-9.197421;-6.298091585;-8.530575235
2015-06-17;-48.466667;-7.053333;-52.06684;-8.160407;-5.257419683;-8.110220526
2015-07-07;-46.646667;-5.466667;-57.461737;-8.838158;-5.729539078;-8.123175648
2015-07-21;-46.543333;-6.243333;-53.115537;-8.292153;-4.813858571;-8.285930846
2015-07-28;-48.18;-6.746667;-53.152511;-8.296798;-7.030807897;-8.005620276
2015-08-06;-48.1;-6.143333;-56.368684;-8.70084;-6.401434193;-8.171976664
2015-08-17;-46.236667;-5.68;-55.753479;-8.623553;-6.485628219;-8.579434271
2015-09-01;-45.82;-5.83;-54.623987;-8.481657;-6.727864712;-8.481424812
2015-09-17;-46.973333;-6.413333;-53.279928;-8.312805;-5.77983877;-8.311291768
2015-09-29;-43.52;-5.7;-51.418629;-8.078973;-5.746653678;-7.913132262
2015-10-13;-43.65;-6.223333;-48.662356;-7.732708;-7.21764162;-7.732708
2015-10-27;-43.293333;-6.083333;-48.848089;-7.756041;-7.001641723;-7.676201021
2015-11-10;-45.92;-6.2;-52.940636;-8.27018;-7.821870717;-8.27018
2015-11-24;-47.083333;-6.556667;-52.860079;-8.26006;-7.879082192;-8.172435104
2015-12-10;-50.126667;-7.43;-53.074209;-8.286961;-7.288366501;-8.097973403
