Date	Precipitation total [mm]	Tritium [pCi/L]	Tritium +-	Sodium-22 [mBq/m3]	Sodium-22 +-	Sulfur-35 [mBq/L]	Sulfur-35 +-
10/1/2014	56.0	12.4	0.6			3.0	0.4
10/2/2014	56.0	12.4	0.6			3.0	0.4
10/3/2014	56.0	12.4	0.6			3.0	0.4
10/4/2014	56.0	12.4	0.6			3.0	0.4
10/5/2014	56.0	12.4	0.6			3.0	0.4
10/6/2014	56.0	12.4	0.6			3.0	0.4
10/7/2014	56.0	12.4	0.6			3.0	0.4
10/8/2014	56.0	12.4	0.6			3.0	0.4
10/9/2014	56.0	12.4	0.6			3.0	0.4
10/10/2014	56.0	12.4	0.6			3.0	0.4
10/11/2014	56.0	12.4	0.6			3.0	0.4
10/12/2014	56.0	12.4	0.6			3.0	0.4
10/13/2014	56.0	12.4	0.6			3.0	0.4
10/14/2014	56.0	12.4	0.6			3.0	0.4
10/15/2014	56.0	12.4	0.6			3.0	0.4
10/16/2014	56.0	12.4	0.6			3.0	0.4
10/17/2014	56.0	12.4	0.6			3.0	0.4
10/18/2014	56.0	12.4	0.6			3.0	0.4
10/19/2014	56.0	12.4	0.6			3.0	0.4
10/20/2014	56.0	12.4	0.6			3.0	0.4
10/21/2014	56.0	12.4	0.6			3.0	0.4
10/22/2014	56.0	12.4	0.6			3.0	0.4
10/23/2014	56.0	12.4	0.6			3.0	0.4
10/24/2014	56.0	12.4	0.6			3.0	0.4
10/25/2014	56.0	12.4	0.6			3.0	0.4
10/26/2014	56.0	12.4	0.6			3.0	0.4
10/27/2014	56.0	12.4	0.6			3.0	0.4
10/28/2014	56.0	12.4	0.6			3.0	0.4
10/29/2014	56.0	12.4	0.6			3.0	0.4
10/30/2014	56.0	12.4	0.6			3.0	0.4
10/31/2014	56.0	12.4	0.6			3.0	0.4
11/1/2014	56.0	12.4	0.6			3.0	0.4
11/2/2014	56.0	12.4	0.6			3.0	0.4
11/3/2014	56.0	12.4	0.6			3.0	0.4
11/4/2014	56.0	12.4	0.6			3.0	0.4
11/5/2014	56.0	12.4	0.6			3.0	0.4
11/6/2014	56.0	12.4	0.6			3.0	0.4
11/7/2014	56.0	12.4	0.6			3.0	0.4
11/8/2014	56.0	12.4	0.6			3.0	0.4
11/9/2014	56.0	12.4	0.6			3.0	0.4
11/10/2014	56.0	12.4	0.6			3.0	0.4
11/11/2014	56.0	12.4	0.6			3.0	0.4
11/12/2014	204.0	14.2	0.6			5.6	0.5
11/13/2014	204.0	14.2	0.6			5.6	0.5
11/14/2014	204.0	14.2	0.6			5.6	0.5
11/15/2014	204.0	14.2	0.6			5.6	0.5
11/16/2014	204.0	14.2	0.6			5.6	0.5
11/17/2014	204.0	14.2	0.6			5.6	0.5
11/18/2014	204.0	14.2	0.6			5.6	0.5
11/19/2014	204.0	14.2	0.6			5.6	0.5
11/20/2014	204.0	14.2	0.6			5.6	0.5
11/21/2014	204.0	14.2	0.6			5.6	0.5
11/22/2014	204.0	14.2	0.6			5.6	0.5
11/23/2014	204.0	14.2	0.6			5.6	0.5
11/24/2014	204.0	14.2	0.6			5.6	0.5
11/25/2014	204.0	14.2	0.6			5.6	0.5
11/26/2014	204.0	14.2	0.6			5.6	0.5
11/27/2014	204.0	14.2	0.6			5.6	0.5
11/28/2014	204.0	14.2	0.6			5.6	0.5
11/29/2014	204.0	14.2	0.6			5.6	0.5
11/30/2014	204.0	14.2	0.6			5.6	0.5
12/1/2014	204.0	14.2	0.6			5.6	0.5
12/2/2014	204.0	14.2	0.6			5.6	0.5
12/3/2014	204.0	14.2	0.6			5.6	0.5
12/4/2014	204.0	14.2	0.6			5.6	0.5
12/5/2014	204.0	14.2	0.6			5.6	0.5
12/6/2014	204.0	14.2	0.6			5.6	0.5
12/7/2014	204.0	14.2	0.6			5.6	0.5
12/8/2014	204.0	14.2	0.6			5.6	0.5
12/9/2014	204.0	14.2	0.6			5.6	0.5
12/10/2014	204.0	14.2	0.6			5.6	0.5
12/11/2014	204.0	14.2	0.6			5.6	0.5
12/12/2014	204.0	14.2	0.6			5.6	0.5
12/13/2014	204.0	14.2	0.6			5.6	0.5
12/14/2014	204.0	14.2	0.6			5.6	0.5
12/15/2014	204.0	14.2	0.6			5.6	0.5
12/16/2014	204.0	14.2	0.6			5.6	0.5
12/17/2014	204.0	14.2	0.6			5.6	0.5
12/18/2014	204.0	14.2	0.6			5.6	0.5
12/19/2014	204.0	14.2	0.6			5.6	0.5
12/20/2014	204.0	14.2	0.6			5.6	0.5
12/21/2014	204.0	14.2	0.6			5.6	0.5
12/22/2014	204.0	14.2	0.6			5.6	0.5
12/23/2014	204.0	14.2	0.6			5.6	0.5
12/24/2014	204.0	14.2	0.6			5.6	0.5
12/25/2014	204.0	14.2	0.6			5.6	0.5
12/26/2014	204.0	14.2	0.6			5.6	0.5
12/27/2014	204.0	14.2	0.6			5.6	0.5
12/28/2014	204.0	14.2	0.6			5.6	0.5
12/29/2014	204.0	14.2	0.6			5.6	0.5
12/30/2014	204.0	14.2	0.6			5.6	0.5
12/31/2014	204.0	14.2	0.6			5.6	0.5
1/1/2015	204.0	14.2	0.6			5.6	0.5
1/2/2015	204.0	14.2	0.6			5.6	0.5
1/3/2015	204.0	14.2	0.6			5.6	0.5
1/4/2015	204.0	14.2	0.6			5.6	0.5
1/5/2015	204.0	14.2	0.6			5.6	0.5
1/6/2015	204.0	14.2	0.6			5.6	0.5
1/7/2015	204.0	14.2	0.6			5.6	0.5
1/8/2015	204.0	14.2	0.6			5.6	0.5
1/9/2015	204.0	14.2	0.6			5.6	0.5
1/10/2015	204.0	14.2	0.6			5.6	0.5
1/11/2015	204.0	14.2	0.6			5.6	0.5
1/12/2015	204.0	14.2	0.6			5.6	0.5
1/13/2015	204.0	14.2	0.6			5.6	0.5
1/14/2015	204.0	14.2	0.6			5.6	0.5
1/15/2015	204.0	14.2	0.6			5.6	0.5
1/16/2015	204.0	14.2	0.6			5.6	0.5
1/17/2015	204.0	14.2	0.6			5.6	0.5
1/18/2015	204.0	14.2	0.6			5.6	0.5
1/19/2015	204.0	14.2	0.6			5.6	0.5
1/20/2015	204.0	14.2	0.6			5.6	0.5
1/21/2015	204.0	14.2	0.6			5.6	0.5
1/22/2015	204.0	14.2	0.6			5.6	0.5
1/23/2015	204.0	14.2	0.6			5.6	0.5
1/24/2015	204.0	14.2	0.6			5.6	0.5
1/25/2015	204.0	14.2	0.6			5.6	0.5
1/26/2015	204.0	14.2	0.6			5.6	0.5
1/27/2015	204.0	14.2	0.6			5.6	0.5
1/28/2015	204.0	14.2	0.6			5.6	0.5
1/29/2015	204.0	14.2	0.6			5.6	0.5
1/30/2015	204.0	14.2	0.6			5.6	0.5
1/31/2015	204.0	14.2	0.6			5.6	0.5
2/1/2015	204.0	14.2	0.6			5.6	0.5
2/2/2015	204.0	14.2	0.6			5.6	0.5
2/3/2015	204.0	14.2	0.6			5.6	0.5
2/4/2015	137.0	14.4	0.6			24.1	0.9
2/5/2015	137.0	14.4	0.6			24.1	0.9
2/6/2015	137.0	14.4	0.6			24.1	0.9
2/7/2015	137.0	14.4	0.6			24.1	0.9
2/8/2015	137.0	14.4	0.6			24.1	0.9
2/9/2015	137.0	14.4	0.6			24.1	0.9
2/10/2015	137.0	14.4	0.6			24.1	0.9
2/11/2015	137.0	14.4	0.6			24.1	0.9
2/12/2015	137.0	14.4	0.6			24.1	0.9
2/13/2015	137.0	14.4	0.6			24.1	0.9
2/14/2015	137.0	14.4	0.6			24.1	0.9
2/15/2015	137.0	14.4	0.6			24.1	0.9
2/16/2015	137.0	14.4	0.6			24.1	0.9
2/17/2015	137.0	14.4	0.6			24.1	0.9
2/18/2015	137.0	14.4	0.6			24.1	0.9
2/19/2015	137.0	14.4	0.6			24.1	0.9
