date [yyyy-mm-dd]	J [mm/d]	Q [mm/d]	ET [mm/d]
2013-02-04	2.19	1.12	0.66
2013-02-05	4.68	1.13	0.68
2013-02-06	0.11	0.98	0.54
2013-02-07	1.62	0.81	0.51
2013-02-08	1.32	0.70	0.43
2013-02-09	0.53	0.62	0.43
2013-02-10	0.01	0.56	0.48
2013-02-11	0.03	0.51	0.45
2013-02-12	0.01	0.47	0.26
2013-02-13	0.00	0.44	0.44
2013-02-14	0.02	0.41	0.44
2013-02-15	0.12	0.38	0.61
2013-02-16	0.16	0.36	0.50
2013-02-17	0.23	0.35	0.40
2013-02-18	0.70	0.33	0.40
2013-02-19	3.16	0.31	0.56
2013-02-20	2.98	0.29	0.44
2013-02-21	2.11	0.27	0.42
2013-02-22	4.58	0.25	0.31
2013-02-23	7.95	0.24	0.45
2013-02-24	4.56	0.22	0.53
2013-02-25	2.95	0.21	0.37
2013-02-26	0.32	0.20	0.47
2013-02-27	0.06	0.19	0.33
2013-02-28	0.01	0.18	0.47
2013-03-01	0.03	0.17	0.55
2013-03-02	0.24	0.16	0.89
2013-03-03	0.02	0.15	0.75
2013-03-04	0.00	0.17	0.99
2013-03-05	0.00	0.22	1.23
2013-03-06	0.00	0.33	1.48
2013-03-07	2.82	0.60	1.34
2013-03-08	0.38	0.72	0.96
2013-03-09	2.26	0.67	0.69
2013-03-10	4.41	0.59	1.23
2013-03-11	1.44	0.49	0.34
2013-03-12	3.53	0.42	0.39
2013-03-13	0.10	0.37	0.87
2013-03-14	1.17	0.34	1.05
2013-03-15	0.26	0.31	0.86
2013-03-16	0.00	0.28	1.23
2013-03-17	1.10	0.27	1.00
2013-03-18	7.32	0.35	1.26
2013-03-19	0.25	0.39	0.91
2013-03-20	7.70	0.35	0.89
2013-03-21	0.17	0.31	0.93
2013-03-22	0.16	0.28	0.64
2013-03-23	0.00	0.26	0.57
2013-03-24	0.03	0.24	0.70
2013-03-25	0.01	0.22	0.70
2013-03-26	0.00	0.21	0.80
2013-03-27	0.91	0.19	0.96
2013-03-28	4.82	0.18	1.07
2013-03-29	1.64	0.17	1.28
2013-03-30	0.35	0.16	1.28
2013-03-31	2.81	0.15	1.01
2013-04-01	0.00	0.14	1.35
2013-04-02	0.03	0.13	1.15
2013-04-03	0.02	0.12	0.64
2013-04-04	0.04	0.12	0.76
2013-04-05	0.63	0.12	0.64
2013-04-06	0.08	0.12	1.12
2013-04-07	0.00	0.13	1.65
2013-04-08	0.12	0.16	1.66
2013-04-09	0.32	0.25	1.52
2013-04-10	2.69	0.63	2.25
2013-04-11	7.46	1.66	3.04
2013-04-12	4.45	1.73	2.71
2013-04-13	4.48	1.51	2.87
2013-04-14	0.01	1.20	3.46
2013-04-15	0.73	0.94	3.82
2013-04-16	0.00	0.77	3.01
2013-04-17	0.00	0.66	2.81
2013-04-18	0.00	0.58	3.37
2013-04-19	0.00	0.52	2.10
2013-04-20	0.00	0.48	1.73
2013-04-21	0.00	0.44	2.49
2013-04-22	0.00	0.40	2.19
2013-04-23	0.00	0.38	2.70
2013-04-24	0.00	0.35	3.07
2013-04-25	0.00	0.33	3.08
2013-04-26	13.91	0.38	5.59
2013-04-27	6.29	0.60	1.68
2013-04-28	0.03	0.57	2.49
2013-04-29	0.01	0.48	2.26
2013-04-30	0.02	0.43	1.97
2013-05-01	0.00	0.38	1.94
2013-05-02	0.05	0.35	1.20
2013-05-03	0.01	0.32	2.49
2013-05-04	0.02	0.30	2.87
2013-05-05	0.00	0.28	3.29
2013-05-06	1.29	0.26	3.79
2013-05-07	4.21	0.24	2.51
2013-05-08	0.18	0.23	3.80
2013-05-09	1.74	0.21	3.23
2013-05-10	0.00	0.20	2.47
2013-05-11	2.52	0.19	2.88
2013-05-12	4.89	0.18	3.33
2013-05-13	2.21	0.17	3.24
2013-05-14	1.98	0.16	3.06
2013-05-15	7.52	0.16	6.07
2013-05-16	0.01	0.16	3.80
2013-05-17	12.65	0.21	5.76
2013-05-18	8.57	0.35	3.95
2013-05-19	2.01	0.33	4.49
2013-05-20	0.08	0.28	2.45
2013-05-21	3.71	0.24	3.16
2013-05-22	8.38	0.27	3.44
2013-05-23	4.17	0.33	3.60
2013-05-24	0.29	0.29	2.42
2013-05-25	18.12	0.61	3.59
2013-05-26	20.35	1.38	2.84
2013-05-27	0.34	1.28	2.48
2013-05-28	6.59	0.97	5.28
2013-05-29	2.26	0.80	3.51
2013-05-30	14.81	1.07	3.45
2013-05-31	32.48	2.84	3.91
2013-06-01	0.44	2.82	3.39
2013-06-02	0.25	1.89	2.31
2013-06-03	0.00	1.45	3.16
2013-06-04	1.38	1.19	4.16
2013-06-05	0.00	1.01	4.00
2013-06-06	0.00	0.88	4.45
2013-06-07	0.00	0.79	4.28
2013-06-08	0.00	0.72	3.94
2013-06-09	10.39	0.68	4.89
2013-06-10	0.18	0.68	4.22
2013-06-11	5.01	0.62	4.83
2013-06-12	0.09	0.57	4.94
2013-06-13	4.55	0.53	5.46
2013-06-14	0.00	0.49	3.68
2013-06-15	0.20	0.46	3.87
2013-06-16	0.01	0.42	3.26
2013-06-17	0.00	0.40	3.96
2013-06-18	0.00	0.37	4.62
2013-06-19	0.16	0.35	4.46
2013-06-20	3.30	0.32	5.02
2013-06-21	0.02	0.30	3.09
2013-06-22	0.10	0.28	2.93
2013-06-23	0.09	0.26	2.49
2013-06-24	1.94	0.25	2.95
2013-06-25	1.03	0.23	2.08
2013-06-26	0.09	0.21	2.05
2013-06-27	0.44	0.20	2.29
2013-06-28	0.46	0.19	2.51
2013-06-29	2.25	0.17	2.95
2013-06-30	0.01	0.16	2.63
2013-07-01	6.30	0.15	5.11
2013-07-02	0.73	0.14	4.04
2013-07-03	0.71	0.13	2.77
2013-07-04	0.70	0.12	2.43
2013-07-05	0.05	0.12	2.33
2013-07-06	0.00	0.11	2.51
2013-07-07	0.00	0.10	2.59
2013-07-08	0.00	0.09	2.60
2013-07-09	0.00	0.09	2.61
2013-07-10	0.02	0.08	2.04
2013-07-11	0.00	0.08	1.66
2013-07-12	0.01	0.07	1.88
2013-07-13	0.00	0.07	2.00
2013-07-14	0.00	0.06	1.78
2013-07-15	0.00	0.06	1.86
2013-07-16	0.00	0.05	2.14
2013-07-17	0.00	0.05	2.12
2013-07-18	0.00	0.05	1.93
2013-07-19	0.00	0.04	1.87
2013-07-20	0.00	0.04	1.69
2013-07-21	0.00	0.04	2.06
2013-07-22	0.00	0.04	2.15
2013-07-23	0.00	0.03	2.04
2013-07-24	5.79	0.03	4.72
2013-07-25	0.12	0.03	2.80
2013-07-26	7.63	0.03	5.70
2013-07-27	1.76	0.03	4.67
2013-07-28	4.30	0.02	4.24
2013-07-29	7.78	0.02	4.95
2013-07-30	2.11	0.02	4.07
2013-07-31	0.75	0.02	2.26
2013-08-01	0.00	0.02	1.91
2013-08-02	0.00	0.02	1.86
2013-08-03	0.02	0.02	1.54
2013-08-04	0.00	0.02	1.27
2013-08-05	0.00	0.02	1.39
2013-08-06	14.72	0.03	7.09
2013-08-07	2.47	0.03	3.76
2013-08-08	0.25	0.03	2.27
2013-08-09	0.00	0.02	1.09
2013-08-10	0.19	0.02	1.33
2013-08-11	0.06	0.02	1.04
2013-08-12	6.37	0.02	3.92
2013-08-13	2.90	0.02	3.45
2013-08-14	0.01	0.02	2.33
2013-08-15	0.00	0.02	1.21
2013-08-16	0.00	0.02	1.17
2013-08-17	0.00	0.02	1.13
2013-08-18	1.41	0.02	1.59
2013-08-19	6.53	0.01	3.65
2013-08-20	0.02	0.01	2.82
2013-08-21	0.00	0.01	1.22
2013-08-22	0.00	0.01	0.94
2013-08-23	0.23	0.01	0.87
2013-08-24	0.00	0.01	0.88
2013-08-25	0.02	0.01	0.74
2013-08-26	0.00	0.01	0.65
2013-08-27	0.00	0.01	0.69
2013-08-28	0.05	0.01	0.74
2013-08-29	0.00	0.01	0.77
2013-08-30	0.00	0.01	0.76
2013-08-31	2.07	0.01	1.77
2013-09-01	0.00	0.01	1.06
2013-09-02	0.70	0.01	0.75
2013-09-03	0.16	0.01	0.79
2013-09-04	0.02	0.01	0.65
2013-09-05	0.00	0.01	0.68
2013-09-06	0.00	0.01	0.71
2013-09-07	0.00	0.00	0.68
2013-09-08	26.45	0.22	3.56
2013-09-09	4.00	0.09	2.68
2013-09-10	11.99	0.26	2.10
2013-09-11	18.06	0.50	1.87
2013-09-12	1.22	0.32	1.86
2013-09-13	0.93	0.25	2.12
2013-09-14	1.13	0.21	1.91
2013-09-15	1.13	0.18	1.44
2013-09-16	3.19	0.16	2.06
2013-09-17	1.96	0.15	2.11
2013-09-18	0.34	0.14	1.52
2013-09-19	0.39	0.13	1.28
2013-09-20	0.70	0.12	1.03
2013-09-21	0.00	0.11	1.11
2013-09-22	0.12	0.10	0.91
2013-09-23	0.08	0.09	0.67
2013-09-24	0.10	0.09	0.79
2013-09-25	0.03	0.08	0.65
2013-09-26	1.57	0.08	1.37
2013-09-27	0.02	0.07	1.08
