H2_PB,H2_OH,O18_PB,O18_OH
-67.6048583984375,-65.57079315185547,-10.293478965759277,-10.024125099182129
-70.69352722167969,-68.55683135986328,-10.633563041687012,-10.35421085357666
-59.4085578918457,-57.386661529541016,-9.165639877319336,-8.904431343078613
-38.53163528442383,-37.35355758666992,-6.54964017868042,-6.386433124542236
-30.829668045043945,-30.18476676940918,-5.47489070892334,-5.389505863189697
-29.107881546020508,-28.61253547668457,-5.326180458068848,-5.234835624694824
-25.31890296936035,-24.668228149414062,-4.749724864959717,-4.625552654266357
-36.552085876464844,-36.51860427856445,-5.9938435554504395,-5.9667253494262695
-34.45425796508789,-33.66984558105469,-6.142541885375977,-6.023263454437256
-40.43257141113281,-39.28559494018555,-6.9113593101501465,-6.748445510864258
-45.27973937988281,-43.72800827026367,-7.522253513336182,-7.304939270019531
-67.53632354736328,-65.7105941772461,-10.274752616882324,-10.018941879272461
